iter	Passed	Remaining
0	65	12992
1	87	8676
2	103	6800
3	119	5872
4	139	5453
5	158	5112
6	175	4847
7	190	4580
8	206	4381
9	224	4257
10	241	4156
11	257	4036
12	276	3970
13	294	3915
14	310	3827
15	326	3756
16	345	3718
17	360	3641
18	375	3573
19	387	3490
20	399	3403
21	411	3330
22	424	3268
23	440	3231
24	452	3167
25	463	3103
26	475	3045
27	489	3007
28	503	2970
29	515	2921
30	526	2869
31	537	2820
32	548	2777
33	560	2734
34	570	2689
35	581	2649
36	592	2610
37	604	2574
38	616	2545
39	631	2524
40	645	2504
41	657	2474
42	675	2466
43	696	2468
44	713	2458
45	730	2446
46	752	2449
47	769	2436
48	784	2418
49	801	2405
50	818	2391
51	836	2379
52	856	2375
53	874	2364
54	896	2362
55	911	2342
56	932	2340
57	947	2319
58	959	2292
59	974	2272
60	985	2245
61	996	2217
62	1007	2190
63	1019	2166
64	1037	2154
65	1050	2132
66	1061	2107
67	1072	2081
68	1089	2067
69	1105	2053
70	1116	2028
71	1127	2005
72	1138	1980
73	1149	1957
74	1160	1933
75	1173	1914
76	1184	1892
77	1196	1871
78	1207	1849
79	1220	1830
80	1235	1815
81	1249	1797
82	1265	1783
83	1279	1766
84	1298	1756
85	1314	1742
86	1331	1729
87	1358	1728
88	1375	1715
89	1389	1697
90	1406	1685
91	1425	1673
92	1442	1659
93	1462	1649
94	1480	1636
95	1496	1621
96	1512	1606
97	1536	1598
98	1551	1583
99	1568	1568
100	1579	1547
101	1591	1528
102	1602	1509
103	1612	1488
104	1625	1470
105	1639	1453
106	1653	1437
107	1665	1418
108	1676	1399
109	1686	1380
110	1697	1361
111	1708	1342
112	1723	1327
113	1738	1311
114	1755	1297
115	1768	1280
116	1781	1263
117	1791	1245
118	1802	1227
119	1814	1209
120	1825	1192
121	1840	1176
122	1854	1160
123	1865	1143
124	1877	1126
125	1890	1110
126	1905	1095
127	1919	1079
128	1936	1065
129	1953	1051
130	1973	1039
131	1991	1025
132	2009	1012
133	2026	998
134	2044	984
135	2061	969
136	2084	958
137	2102	944
138	2117	929
139	2132	913
140	2148	899
141	2165	884
142	2178	868
143	2189	851
144	2200	834
145	2210	817
146	2221	800
147	2234	784
148	2248	769
149	2259	753
150	2270	736
151	2281	720
152	2292	704
153	2303	687
154	2314	671
155	2324	655
156	2335	639
157	2345	623
158	2359	608
159	2373	593
160	2384	577
161	2394	561
162	2405	546
163	2416	530
164	2426	514
165	2440	499
166	2453	484
167	2465	469
168	2476	454
169	2487	438
170	2498	423
171	2509	408
172	2520	393
173	2530	378
174	2541	363
175	2552	348
176	2565	333
177	2577	318
178	2589	303
179	2601	289
180	2612	274
181	2622	259
182	2638	245
183	2652	230
184	2666	216
185	2681	201
186	2695	187
187	2710	173
188	2730	158
189	2746	144
190	2774	130
191	2790	116
192	2809	101
193	2829	87
194	2852	73
195	2872	58
196	2888	43
197	2905	29
198	2924	14
199	2942	0
